Datum,dH [mm],dH [mm].1,dH [mm].2,dH [mm].3,dH [mm].4,dH [mm].5,dH [mm].6,dH [mm].7,dH [mm].8,dH [mm].9,dH [mm].10,dH [mm].11,dH [mm].12,dH [mm].13,dH [mm].14,dH [mm].15,dH [mm].16,dH [mm].17,dH [mm].18,dH [mm].19,dH [mm].20,dH [mm].21,dH [mm].22,dH [mm].23,dH [mm].24,dH [mm].25,dH [mm].26,dH [mm].27,dH [mm].28,dH [mm].29,dH [mm].30,dH [mm].31,dH [mm].32,dH [mm].33,dH [mm].34,dH [mm].35,dH [mm].36,dH [mm].37,dH [mm].38,dH [mm].39,dH [mm].40,dH [mm].41,dH [mm].42,dH [mm].43,dH [mm].44,dH [mm].45,dH [mm].46,dH [mm].47,dH [mm].48,dH [mm].49,dH [mm].50,dH [mm].51,dH [mm].52,dH [mm].53,dH [mm].54,dH [mm].55,dH [mm].56,dH [mm].57,dH [mm].58,dH [mm].59,dH [mm].60,dH [mm].61,Unnamed: 63
05.02.2024 00:50,-8.075,-8.044,-7.813,-7.473,-8.543,-7.468,0.24,-0.894,-6.54,-9.281,-0.46,-1.065,0.283,1.367,4.01,1.94,0.0612,2.9162,1.8479,4.442,-3.852,0.633,-1.626,-1.147,-2.34,-3.543,-6.692,-1.454,-7.279,-8.167,-6.614,-8.308,0.0,-7.239,-7.209,-6.874,-8.384,-6.233,0.187,-0.291,-6.19,-9.25,1.372,0.955,0.002,0.931,1.23,-2.4029,-2.015,-0.4,3.6619,1.0526,2.74,-1.59,0.713,0.312,-2.493,-3.336,-7.046,-7.669,-5.632,-7.373,
05.02.2024 00:55,-7.7823,-7.7533,-7.5403,-7.2343,-8.2743,-7.2483,0.289,-0.652,-6.2603,-9.0193,-0.185,-0.975,0.237,1.514,4.117,2.029,0.1579,3.0049,1.9374,4.5377,-3.7403,0.8317,-1.5593,-0.9113,-2.1893,-3.4633,-6.4793,-1.4283,-7.0793,-7.8103,-6.3253,-7.9903,0.0,-6.9603,-6.8403,-6.5903,-8.1593,-5.9453,0.467,-0.559,-5.9093,-8.9583,1.43,1.214,0.127,1.123,1.459,-2.3873,-1.889,-0.335,3.7514,1.18,2.8197,-1.5633,0.8447,0.5347,-2.2053,-3.2373,-6.7393,-7.5193,-5.3423,-7.0993,
05.02.2024 01:00,-8.571,-8.639,-8.369,-8.051,-9.125,-8.043,-0.059,-0.676,-7.182,-9.912,-0.463,-1.131,0.207,1.697,3.998,1.883,0.0221,2.8579,1.7911,4.389,-4.182,0.178,-2.149,-1.606,-3.03,-3.991,-7.174,-1.608,-7.702,-8.607,-7.043,-8.756,0.0,-7.749,-7.758,-7.437,-8.994,-6.805,-0.071,-0.18,-6.742,-9.83,1.208,0.649,0.283,0.918,1.259,-2.4114,-2.087,-0.518,3.6049,1.0108,2.276,-2.375,0.102,-0.264,-2.85,-3.7,-7.512,-8.29,-6.19,-7.858,
05.02.2024 01:05,-8.0731,-8.2201,-7.9141,-7.5401,-8.5801,-7.6571,0.34,-0.296,-6.6521,-9.4201,-0.017,-0.805,0.557,1.305,4.392,2.122,0.2458,3.0963,2.0297,4.6259,-3.8381,0.6109,-1.5701,-1.0221,-2.3491,-3.7291,-6.6331,-1.5781,-7.3261,-8.1131,-6.5191,-8.3101,0.0,-7.3201,-7.2841,-6.9371,-8.5071,-6.3121,0.644,-0.144,-6.2701,-9.2981,1.762,1.682,0.264,1.251,1.591,-2.3729,-1.852,-0.178,3.8441,1.253,2.8089,-1.5401,0.6109,0.2319,-2.5301,-3.3981,-7.0811,-7.8271,-5.7071,-7.3951,
05.02.2024 01:10,-7.6525,-7.6685,-7.4815,-6.9575,-8.0325,-7.0795,0.515,-0.322,-6.0845,-8.7565,0.112,-0.666,0.423,1.988,4.484,2.08,0.2089,3.0532,1.9877,4.5785,-3.7925,0.7935,-1.5815,-1.1235,-2.2935,-3.1375,-6.5725,-1.5155,-6.9365,-7.7655,-6.3075,-7.9025,0.0,-6.8665,-6.7725,-6.3565,-7.9925,-5.7215,0.751,-0.102,-5.7485,-8.8405,1.681,1.465,0.442,1.48,1.719,-2.3671,-1.9,-0.318,3.8018,1.1918,2.8235,-1.6305,0.8285,0.1805,-2.3295,-3.3385,-6.7395,-7.3125,-5.2775,-6.9845,
05.02.2024 01:15,-8.0819,-8.0269,-7.8689,-7.4369,-8.5289,-7.5029,0.327,-0.587,-6.5619,-9.2869,-0.1,-0.862,0.345,1.703,4.308,2.108,0.24,3.0849,2.0165,4.6141,-3.7619,0.8641,-1.4339,-0.9309,-2.2379,-3.3209,-6.5479,-1.4879,-7.4959,-8.2279,-6.5259,-8.2919,0.0,-7.2549,-7.1889,-6.8569,-8.4079,-6.2419,0.33,-0.303,-6.1859,-9.2629,1.525,1.352,0.251,1.313,1.606,-2.3735,-1.848,-0.222,3.8305,1.24,2.9561,-1.5479,0.8981,0.4971,-2.3719,-3.2669,-7.0939,-7.8889,-5.8479,-7.3769,
05.02.2024 01:20,-7.5605,-7.4965,-7.2695,-6.8585,-8.0325,-7.0105,0.374,-0.335,-6.0855,-8.7515,-0.028,-0.783,0.482,1.705,4.348,2.193,0.3367,3.1695,2.102,4.7065,-3.5095,1.0335,-1.1855,-0.8475,-1.9945,-3.2505,-6.2295,-1.0735,-6.7425,-7.5715,-6.2085,-7.7905,0.0,-6.7475,-6.6485,-6.2975,-7.9295,-5.7145,0.653,-0.3,-5.6935,-8.6725,1.697,1.343,0.31,1.355,1.654,-2.3664,-1.755,-0.004,3.9161,1.3328,3.1515,-1.3155,1.1575,0.7235,-2.0635,-3.0655,-6.5455,-7.2205,-5.3195,-6.8625,
05.02.2024 01:25,-8.0598,-7.8428,-7.6858,-7.3328,-8.5368,-7.3588,0.415,-0.603,-6.4148,-9.1898,-0.065,-0.815,0.479,1.66,4.267,2.04,0.172,3.0156,1.9485,4.5422,-3.5848,0.8112,-1.2548,-1.1638,-2.2478,-3.3618,-6.3358,-1.4728,-7.1578,-8.1678,-6.2418,-8.2508,0.0,-7.2268,-7.0898,-6.8408,-8.1948,-6.0948,0.474,-0.294,-6.0858,-9.0958,1.643,1.552,0.243,1.373,1.692,-2.3693,-1.909,-0.246,3.762,1.1562,3.0822,-1.5218,1.0252,0.4882,-2.2558,-2.9118,-6.8858,-7.8098,-5.5828,-7.3668,
05.02.2024 01:30,-7.7105,-7.6465,-7.4895,-7.0715,-8.1625,-7.1325,0.628,-0.497,-6.2095,-8.9345,0.091,-0.692,0.431,1.727,4.403,2.374,0.5021,3.3509,2.2823,4.8795,-3.2905,1.2035,-1.0135,-0.5785,-1.8425,-2.8085,-6.1225,-0.9765,-6.9165,-7.7135,-6.0705,-7.9285,0.0,-6.8795,-6.8015,-6.4635,-8.0375,-5.8755,0.588,-0.14,-5.8275,-8.8685,1.698,1.734,0.14,1.509,1.749,-2.3582,-1.634,0.043,4.0965,1.5188,3.3095,-1.2685,1.3385,0.9125,-1.8815,-2.8645,-6.7025,-7.3895,-5.2815,-7.0165,
05.02.2024 01:35,-7.7198,-7.6738,-7.6038,-7.1058,-8.1458,-7.2168,0.584,-0.394,-6.2958,-9.0188,0.106,-0.718,0.645,1.798,4.403,2.169,0.3027,3.1454,2.0776,4.6742,-3.5908,1.0822,-1.2808,-0.7348,-2.0208,-3.0738,-6.4408,-1.1898,-7.1838,-7.8838,-6.3078,-7.9708,0.0,-6.8798,-6.8658,-6.4988,-8.0488,-5.9098,0.668,-0.284,-5.9168,-8.9808,1.746,1.41,0.305,1.463,1.672,-2.3703,-1.805,-0.154,3.8916,1.298,3.1612,-1.3828,1.2052,0.7152,-2.0538,-3.0118,-6.7558,-7.3648,-5.4718,-7.0438,
