Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 23:45;-2.4433;-2.8673;-2.3233;-1.8163;-2.9873;-1.9803;0.6340;-0.5140;-0.8533;-3.8753;-0.1530;-0.8330;0.2030;1.6050;4.2820;2.4920;0.6060;3.4682;2.4016;4.9907;2.3177;7.4287;5.0597;5.1277;3.5277;3.1717;-0.9183;4.3107;-1.7063;-2.3783;-1.1573;-2.6393;0.0000;-1.6373;-1.9833;-1.3303;-3.1483;-0.5553;0.2770;-0.3750;-0.6143;-4.0503;1.3010;1.3580;0.3710;1.3790;1.7020;-2.3624;-1.3530;0.2370;4.2139;1.5768;9.5877;4.7557;7.7517;6.9107;3.2937;2.4917;-1.4863;-2.1323;0.0667;-1.6903;
06.02.2024 23:40;-2.8193;-2.6943;-2.6163;-2.2293;-3.2293;-2.4873;0.6320;-0.8130;-1.3973;-3.9713;-0.1460;-0.8470;0.5640;1.4340;4.1380;2.3030;0.4154;3.2808;2.2132;4.8167;1.8267;7.0547;4.6327;4.7727;3.3757;2.2937;-0.9953;4.2647;-2.0933;-2.7073;-1.2253;-3.0593;0.0000;-1.9793;-2.0143;-1.7093;-3.0153;-1.0363;0.2550;-0.3830;-0.8333;-3.8473;1.2780;1.5240;0.0590;1.3360;1.5550;-2.3782;-1.4910;0.0810;4.0257;1.4282;9.2267;4.3637;7.5097;6.6157;3.0587;2.8197;-1.8443;-2.5513;-0.2993;-2.1303;
06.02.2024 23:35;-2.6469;-2.6789;-2.5089;-2.0979;-2.9969;-2.2719;0.7640;-0.3170;-1.2339;-3.8389;-0.0130;-0.7110;0.9050;1.6840;4.3490;2.6170;0.7403;3.5928;2.5267;5.1251;2.3071;7.4421;4.8261;5.2711;3.6391;3.3751;-0.7559;4.3561;-1.9279;-2.6529;-0.9419;-2.8779;0.0000;-1.7609;-1.7809;-1.5479;-2.9299;-0.8439;0.3800;-0.1450;-0.7089;-3.6879;1.4240;1.4820;0.3180;1.4800;1.8050;-2.3530;-1.1900;0.3570;4.3394;1.7378;9.5051;4.9121;7.9031;6.8491;3.3451;2.0291;-1.7769;-2.0969;0.0691;-1.9869;
06.02.2024 23:30;-2.3226;-2.3556;-2.2346;-1.6866;-2.6516;-1.9706;0.6150;-0.0240;-0.9636;-3.5756;0.0080;-0.7430;0.4950;1.8970;4.2590;2.6650;0.7717;3.6418;2.5749;5.1664;2.2144;7.4764;5.1504;5.3454;3.3794;3.2094;-0.7626;4.0904;-1.7526;-2.1736;-0.8726;-2.6496;0.0000;-1.4676;-1.6036;-1.1786;-2.6996;-0.5326;0.4850;-0.0410;-0.4206;-3.5126;1.4870;1.5510;0.2770;1.4630;1.6980;-2.3601;-1.1240;0.4130;4.3882;1.7732;9.2744;4.5514;7.5064;6.7954;3.3674;2.6754;-1.3496;-2.2646;-0.0206;-1.7286;
06.02.2024 23:25;-2.4721;-2.5921;-2.3791;-2.0191;-2.9411;-2.2171;0.5180;-0.3230;-1.2011;-3.7241;0.0360;-0.8330;0.5760;1.8370;4.3900;2.5450;0.6623;3.5217;2.4554;5.0519;2.2659;7.5529;5.4799;5.5239;3.6099;3.1149;-0.6431;4.3159;-1.9351;-2.3221;-0.7531;-2.8121;0.0000;-1.6391;-1.7631;-1.3771;-2.8751;-0.7761;0.2630;-0.1510;-0.6261;-3.6961;1.4200;1.6410;0.2550;1.4750;1.7950;-2.3509;-1.1920;0.2850;4.2684;1.6728;9.5309;4.8389;8.1729;7.2429;3.6769;2.6449;-1.6091;-2.2561;0.0049;-1.8471;
06.02.2024 23:20;-2.5590;-2.6690;-2.3170;-2.0220;-3.0560;-2.2740;0.4990;-0.4720;-1.1790;-3.8310;-0.0400;-0.9610;0.5400;1.5530;4.1350;2.2170;0.3246;3.1936;2.1271;4.7230;2.1010;7.0150;4.9970;5.1460;3.3940;2.8820;-0.7000;4.1080;-1.9370;-2.6670;-1.0860;-2.9190;0.0000;-1.7470;-1.7960;-1.4490;-2.9070;-0.7750;0.2370;-0.3060;-0.6650;-3.7960;1.2480;1.3010;0.1520;1.2790;1.5350;-2.3813;-1.5010;0.0080;3.9403;1.3356;9.2590;4.4490;7.2510;6.5700;3.2170;2.6780;-1.6530;-2.1760;-0.2580;-1.9330;
06.02.2024 23:15;-2.4171;-2.5151;-2.1681;-1.7951;-2.8391;-2.0411;0.8270;0.1010;-0.9561;-3.6621;0.0920;-0.7100;0.5450;1.7200;4.3400;2.3670;0.4817;3.3458;2.2770;4.8759;2.0299;7.1789;4.5479;5.1089;3.1749;2.1599;-0.9721;4.2629;-1.6891;-2.5831;-0.2411;-2.7401;0.0000;-1.6451;-1.4701;-1.2531;-2.8311;-0.6321;0.5200;-0.3130;-0.4841;-3.5451;1.4850;1.2790;0.4780;1.4640;1.7810;-2.3612;-1.3760;0.1810;4.0898;1.5112;9.0079;4.7089;7.2989;6.5609;3.1409;2.8379;-1.4681;-2.1821;0.1839;-1.8321;
06.02.2024 23:10;-2.4828;-2.5568;-2.3448;-1.9568;-2.9008;-2.1128;0.5020;-0.4020;-1.0308;-3.6248;-0.0860;-0.8940;0.3570;1.6570;4.1630;2.4100;0.5247;3.3872;2.3196;4.9152;2.1872;7.0592;4.7582;5.0172;3.3062;2.6222;-0.8818;4.0402;-1.7798;-2.3408;-0.6968;-2.8158;0.0000;-1.6518;-1.6878;-1.3318;-2.8548;-0.6648;0.3080;-0.1750;-0.5898;-3.6208;1.3000;1.4400;0.2900;1.3250;1.6680;-2.3672;-1.4960;0.1880;4.1320;1.5346;9.1802;4.3542;7.2832;6.6322;3.2002;2.5492;-1.5788;-2.3098;-0.0978;-1.8668;
06.02.2024 23:05;-2.9643;-3.0713;-2.8573;-2.4223;-3.3583;-2.6653;0.4970;-0.6150;-1.4583;-4.0653;-0.1140;-0.9400;0.3780;1.7730;4.2450;2.4630;0.5724;3.4390;2.3729;4.9747;2.0007;6.8437;4.6207;4.7797;3.2167;2.2357;-1.0293;3.9527;-2.1133;-3.1753;-1.4593;-3.2913;0.0000;-2.1913;-2.2093;-1.7893;-3.2883;-1.1773;0.3060;-0.3170;-1.0653;-4.0553;1.2900;1.3230;0.1170;1.3100;1.6260;-2.3705;-1.3950;0.2620;4.1854;1.5926;9.1347;4.3727;7.1947;6.6397;2.8997;2.5347;-2.0193;-2.7043;-0.4563;-2.3303;
06.02.2024 23:00;-3.0778;-3.0738;-2.9558;-2.4928;-3.4578;-2.7918;0.2540;-0.8030;-1.7328;-4.1058;-0.3700;-1.1670;0.2060;1.4060;3.8660;2.0460;0.1752;3.0202;1.9561;4.5522;1.5722;6.7302;4.2342;4.5692;2.8382;1.9752;-1.3358;3.7622;-2.2938;-3.1058;-1.6828;-3.3748;0.0000;-2.2718;-2.2568;-1.9588;-3.4048;-1.3258;-0.0180;-0.6960;-1.1518;-4.1298;1.0210;1.0080;-0.0480;1.0630;1.3160;-2.3957;-1.8030;-0.1450;3.7690;1.1718;9.0102;3.6892;6.7262;6.2922;2.6522;2.2472;-2.0648;-2.8828;-0.6078;-2.4428;
