Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 15:05;-2.1550;-2.3240;-1.8730;-1.5780;-2.4890;-1.7880;0.6860;0.5060;-0.8340;-3.4770;0.5210;-0.3130;1.0060;2.4320;4.8180;2.5580;0.6517;3.5327;2.4654;5.0440;2.1950;7.1370;4.7270;5.0630;3.2670;2.5690;-0.4780;4.1630;-1.3990;-2.0760;0.1930;-2.4900;0.0000;-1.4070;-1.3690;-1.0960;-2.4130;-0.4040;0.7830;0.9260;-0.2600;-3.1750;1.8590;2.1710;1.3050;1.9690;2.2120;-2.3109;-1.3960;0.1840;4.2792;1.6456;9.2730;4.8900;7.1350;6.4440;3.1090;2.4950;-1.3010;-2.0310;0.5510;-1.4670;
06.02.2024 15:00;-2.6691;-2.5761;-2.4461;-2.1641;-3.0461;-2.2681;0.2330;0.0380;-1.3441;-3.9901;-0.0190;-0.8500;1.0500;1.5400;4.3290;2.2870;0.3968;3.2631;2.1957;4.7839;1.4419;6.7609;4.1139;4.6439;2.5729;1.6889;-1.0631;3.2629;-1.6301;-2.1641;-0.9921;-2.9551;0.0000;-1.8961;-1.9661;-1.6771;-3.0361;-0.9281;-0.0730;0.0200;-0.7411;-3.7121;1.3210;1.4050;0.8310;1.5710;1.6870;-2.3692;-1.6450;-0.0620;4.0092;1.3792;8.4109;3.7449;6.7219;6.3609;2.3439;2.6399;-1.8741;-2.0281;-0.3661;-2.1391;
06.02.2024 14:55;-3.1555;-3.3665;-2.9005;-2.6735;-3.4225;-2.7675;0.1800;-0.6380;-1.8075;-4.3905;0.0570;-0.8290;0.8550;1.8670;4.1830;2.2800;0.3965;3.2585;2.1892;4.7825;1.6225;6.9615;4.1465;4.6055;3.2415;2.7045;-1.1995;3.5325;-2.5305;-3.2615;-1.5525;-3.4245;0.0000;-2.4215;-2.5685;-2.1775;-3.3375;-1.5235;0.4600;-0.6880;-1.2895;-4.0305;1.1630;1.5250;0.8300;1.3820;1.7150;-2.3672;-1.6480;0.0330;4.0021;1.3804;8.6795;4.1615;6.9025;6.3405;2.7815;2.2535;-2.2795;-2.9805;-0.7575;-2.4335;
06.02.2024 14:50;-2.6653;-2.6583;-2.3613;-1.9743;-2.9903;-2.2453;0.4170;0.0080;-1.1503;-3.8203;-0.1140;-0.8640;0.7850;2.5970;4.1330;2.3770;0.4630;3.3480;2.2833;4.8597;1.8497;6.9417;4.2157;4.9167;2.7957;2.0757;-0.8923;4.0397;-2.4023;-3.5523;-0.4563;-2.9023;0.0000;-1.8723;-1.8153;-1.5423;-2.8643;-0.8493;-0.0130;0.0270;-0.6663;-3.7973;1.1370;1.0650;1.6790;1.2120;1.5980;-2.3831;-1.6130;-0.0460;4.0964;1.4434;8.8857;5.0307;7.4447;6.1417;2.7277;2.2497;-1.9093;-2.0463;-0.1703;-2.1033;
06.02.2024 14:45;-1.9284;-2.0514;-1.7174;-1.4114;-2.1654;-1.5854;0.4140;0.5610;-0.6984;-2.9754;-0.0450;-0.7430;0.5190;1.6570;4.2580;2.8630;0.9864;3.8387;2.7717;5.3636;2.5936;7.5476;5.2206;5.5666;3.9056;3.0876;-0.1264;4.6026;-1.2534;-2.7574;-0.2044;-2.2904;0.0000;-1.2434;-1.2934;-0.9654;-2.2134;-0.2794;0.1310;0.4430;-0.0494;-2.8544;1.3260;1.7930;0.3160;1.4360;1.7870;-2.3584;-1.0640;0.6130;4.5849;1.9684;9.4246;4.7456;7.8876;7.2516;3.6906;2.7426;-1.0954;-2.1754;0.4296;-1.3794;
06.02.2024 14:40;-3.2673;-3.3673;-3.1353;-2.8223;-3.7733;-3.0233;0.2390;-0.6330;-2.0323;-4.6003;-0.2160;-0.9410;0.9940;1.2320;4.1240;2.2850;0.3739;3.2567;2.1926;4.7727;1.8037;6.6737;4.1677;4.7457;3.0417;2.5217;-1.3083;3.9307;-2.6473;-3.3073;-1.6083;-3.5583;0.0000;-2.5543;-2.7053;-2.3183;-3.6833;-1.6863;0.1730;-0.7760;-1.4633;-4.3253;1.1870;1.4320;0.2300;1.2880;1.6050;-2.3824;-1.7950;-0.1660;4.0053;1.3632;8.7697;3.9657;6.4527;5.9907;2.5387;2.4267;-2.4533;-3.2453;-1.0863;-2.6383;
06.02.2024 14:35;-2.6759;-2.7119;-2.4529;-2.2469;-3.0039;-2.0249;0.3870;-0.4760;-1.0069;-3.7449;-0.0510;-0.7420;0.8930;2.2340;4.4780;2.8700;0.9820;3.8448;2.7778;5.3701;1.9551;6.9611;4.2011;4.7151;3.2581;2.3231;-0.7859;3.9841;-1.9659;-2.0239;-0.4549;-2.7969;0.0000;-1.8489;-2.0539;-1.7639;-2.8289;-0.7089;0.3480;0.1420;-0.7209;-3.3899;1.3050;1.4790;1.1320;1.5150;1.8020;-2.3499;-1.1140;0.5050;4.5919;1.9980;8.9251;4.7021;7.0271;6.2211;3.0801;2.5431;-1.7829;-2.0869;-0.0069;-1.9459;
06.02.2024 14:30;-3.0543;-3.2543;-2.7373;-2.4913;-3.3823;-2.6053;0.1060;-1.3350;-1.7153;-4.2253;-0.5850;-1.3500;-0.5980;1.2400;3.7310;2.1650;0.2743;3.1421;2.0736;4.6667;1.7157;6.7567;4.2887;4.6237;2.7797;1.9197;-1.0493;4.1527;-2.0873;-2.7853;-1.9673;-3.3193;0.0000;-2.3693;-2.5683;-2.0613;-3.4803;-1.3113;-0.2410;-0.6740;-1.1383;-3.8623;0.7200;0.7170;-0.1830;0.8110;1.2300;-2.4141;-1.8510;-0.2350;3.8871;1.2722;8.6187;3.5847;6.4627;6.0527;2.6177;2.6927;-2.2343;-2.5623;-1.3413;-2.4033;
06.02.2024 14:25;-4.0940;-4.0890;-3.8430;-3.3320;-4.5250;-3.5900;0.4500;-0.2210;-2.6270;-5.1940;-0.0910;-0.8170;0.0630;1.4510;4.3520;2.8520;0.9553;3.8283;2.7605;5.3490;2.0400;6.8830;4.7310;5.0260;3.5320;2.9510;-1.8700;3.6050;-3.1970;-4.0120;-2.4260;-4.3000;0.0000;-3.2760;-3.3650;-2.9020;-4.3890;-2.1890;0.4470;-0.9670;-2.1810;-5.1310;1.2200;1.2220;-0.0740;1.3860;1.6400;-2.3553;-1.1050;0.4970;4.5738;1.9870;9.3860;4.6050;6.8960;6.8490;3.3110;2.8930;-3.1430;-3.5380;-1.5420;-3.5180;
06.02.2024 14:20;-2.7596;-2.8156;-2.5656;-2.2566;-3.0116;-2.3746;0.4340;-1.0320;-1.5086;-3.9536;0.0660;-0.7090;0.5400;1.5110;4.3970;2.1050;0.2103;3.0812;2.0141;4.6124;1.2564;6.0544;3.8684;4.1734;2.4824;1.6994;-1.2876;3.4674;-2.3486;-2.8806;-1.4706;-3.1386;0.0000;-2.0086;-2.0666;-1.6776;-2.9726;-1.1196;0.5330;-0.6410;-0.9086;-3.6676;1.3500;1.3570;0.5740;1.4730;1.7970;-2.3519;-1.8510;-0.2030;3.8272;1.2446;7.9964;2.8144;6.4034;5.9224;2.4084;1.7864;-1.9446;-2.9096;-0.2246;-2.1006;
06.02.2024 14:15;-3.2364;-3.3154;-2.7394;-2.4804;-3.6344;-2.8134;0.0480;-1.6150;-1.6974;-4.4194;-0.6690;-1.4010;0.0560;1.5140;3.7060;1.7080;-0.1768;2.6885;1.6183;4.2276;1.1786;6.1596;3.1886;4.3976;2.1856;1.8106;-1.1874;3.1246;-2.8444;-2.6424;-1.9414;-3.4894;0.0000;-2.5484;-2.5764;-2.0464;-3.6024;-1.4334;-0.5280;-1.0030;-1.2734;-4.2344;0.5450;0.2010;0.1020;0.7520;1.0470;-2.4306;-2.2460;-0.5620;3.4314;0.8724;8.2826;3.5786;5.9936;5.6356;1.7386;2.2546;-2.3744;-3.1834;-0.7524;-2.4984;
06.02.2024 14:10;-1.5070;-1.6720;-1.2840;-0.8050;-1.6910;-1.0840;0.0870;-0.7750;-0.2390;-3.0270;-0.1900;-1.0060;-0.0580;1.0790;4.0530;3.1640;1.2876;4.1405;3.0727;5.6700;2.8840;7.8680;5.6720;5.5810;4.4310;4.1050;0.0620;5.0210;-1.1780;-2.4230;-0.0530;-1.8700;0.0000;-0.8070;-1.0400;-0.2320;-1.6830;0.1680;0.1520;-0.0890;0.3550;-2.6530;1.0580;1.6640;-0.3510;1.2450;1.4480;-2.3857;-0.7300;0.8930;4.8858;2.2838;9.8440;5.2770;7.5430;7.5420;3.8320;3.0610;-0.6730;-1.4420;0.8090;-0.8660;
06.02.2024 14:05;-3.5114;-3.4734;-3.2724;-2.9954;-3.7074;-3.2374;0.2910;-0.6770;-2.0804;-4.5444;-0.2840;-1.0190;0.8050;1.5700;4.0900;2.2560;0.3627;3.2307;2.1646;4.7546;1.2776;6.4856;3.6946;4.3476;2.8796;1.9776;-2.0354;3.5636;-3.0514;-3.6464;-2.1274;-3.7174;0.0000;-2.7214;-2.6844;-2.5234;-3.5904;-1.7984;-0.2920;-0.5550;-1.6004;-4.4864;0.9680;0.7480;0.1770;1.0480;1.4110;-2.3834;-1.6850;-0.0860;3.9779;1.3696;8.3046;3.5156;6.4116;6.1336;2.3016;1.6756;-2.6694;-3.1764;-1.4814;-2.7774;
06.02.2024 14:00;-1.8467;-1.9297;-1.5467;-1.1067;-2.0647;-1.3077;0.4480;-0.6260;-0.4547;-3.0567;0.2090;-0.6650;0.6830;2.2510;4.6280;3.9080;2.0256;4.8847;3.8171;6.4123;3.3793;8.0993;5.4013;6.3613;4.5373;3.6773;0.9353;5.2493;-0.8047;-2.0197;-0.2217;-2.0517;0.0000;-1.1807;-0.8737;-0.7337;-2.0497;-0.0627;0.3550;-0.1140;0.1613;-2.7897;1.4280;1.9440;0.5120;1.6050;1.7770;-2.3444;0.0490;1.5810;5.6299;3.0382;10.0383;4.9743;8.1283;7.5843;3.9233;3.5623;-0.8567;-1.8067;0.5833;-1.1977;
06.02.2024 13:55;-1.8992;-2.0452;-1.5612;-1.2282;-2.2262;-1.5872;0.7190;-0.3570;-0.5902;-3.1322;0.3610;-0.3450;2.1980;2.4910;4.7560;2.9170;1.0346;3.8941;2.8261;5.4258;2.0538;7.3638;4.6908;4.9908;3.3148;2.8408;-0.7192;4.1448;-1.6212;-1.0532;-0.2772;-2.1392;0.0000;-1.2432;-1.1982;-0.9102;-2.2362;-0.1922;0.5320;0.0710;-0.0672;-2.9962;1.6960;1.7760;0.7350;1.7980;2.1500;-2.3190;-0.9520;0.6020;4.6396;2.0346;9.0528;4.6238;7.1208;6.7438;3.2608;3.0688;-1.0552;-1.5122;0.4228;-1.3092;
06.02.2024 13:50;-3.1146;-3.3526;-3.1896;-2.8466;-3.2346;-2.6346;-0.0400;-1.3260;-1.5986;-4.0806;-0.4290;-1.1980;-0.0790;1.7780;3.7890;1.9330;0.0505;2.9084;1.8417;4.4254;1.3614;6.2984;3.2684;4.0634;2.1174;1.3954;-1.4366;3.7604;-2.7046;-2.8746;-1.0106;-3.2926;0.0000;-2.4486;-2.5166;-2.1766;-3.3596;-1.3086;-0.5200;-0.6490;-1.3126;-4.3326;0.7530;0.3250;0.5750;1.2380;1.0800;-2.4278;-1.9830;-0.4710;3.6541;1.0306;8.4834;3.2264;6.5664;5.6864;2.6054;2.2914;-2.3126;-2.3646;-0.2216;-2.5486;
06.02.2024 13:45;-0.2948;-0.3238;-0.0188;0.3772;-0.4778;0.2112;0.2590;0.0340;0.8942;-1.5938;-0.0450;-0.8730;0.9350;1.2750;4.2700;3.4920;1.6143;4.4714;3.4022;6.0122;3.0532;8.0542;6.0752;6.3112;4.6262;3.6382;1.4062;5.8142;0.1172;-0.4598;1.2142;-0.5728;0.0000;0.4682;0.4482;0.7532;-0.5758;1.3752;0.0640;-0.2480;1.5932;-1.3108;1.2780;1.8200;0.2410;1.4410;1.6860;-2.3572;-0.3910;1.2330;5.2152;2.6482;10.0892;5.8922;8.0832;7.9422;4.7872;4.2552;0.4582;-0.5738;1.4122;0.3002;
06.02.2024 13:40;-2.7232;-3.0122;-2.4842;-2.1272;-2.7172;-2.1372;0.5820;-0.2760;-1.0982;-3.8392;0.0170;-0.8060;1.1310;1.5540;4.2410;2.3180;0.4332;3.2964;2.2266;4.8228;1.7328;6.4828;3.8228;4.4318;3.3728;1.8878;-1.3192;4.1158;-2.0392;-2.8402;-1.1292;-3.0392;0.0000;-1.8592;-2.1482;-1.5552;-2.7962;-0.8972;0.2860;-0.6090;-0.7972;-3.7092;1.3530;1.4230;0.3040;1.3580;1.5560;-2.3589;-1.6420;-0.0410;4.0400;1.4368;8.4998;3.7368;5.5058;5.8358;3.0898;2.1288;-1.9792;-2.7082;-0.5522;-2.1542;
06.02.2024 13:35;-3.3490;-3.2000;-3.1380;-2.7560;-3.6540;-2.9750;0.0860;-0.2280;-1.9650;-4.3720;-0.1720;-0.9200;0.8560;1.2990;4.0830;2.0950;0.2115;3.0720;2.0033;4.6040;1.3160;6.0660;3.5000;3.6860;2.4190;1.3110;-1.5330;3.4920;-2.3790;-4.2240;-2.2040;-3.6400;0.0000;-2.5750;-2.4940;-2.3240;-3.5070;-1.6340;0.4110;-0.2430;-1.4670;-4.4050;1.2620;1.2200;0.5720;1.1210;1.4270;-2.3851;-1.8950;-0.3110;3.8167;1.2156;8.1020;3.3740;5.7500;5.3660;2.2350;2.0010;-2.4630;-2.7820;-0.7930;-2.7150;
06.02.2024 13:30;-3.3092;-3.3402;-3.0202;-2.6392;-3.4962;-2.7512;0.1440;-0.2100;-1.7712;-4.2472;-0.0950;-0.9090;0.7490;2.3500;4.1790;1.5150;-0.3684;2.4920;1.4235;4.0198;0.6538;5.3418;2.9608;3.1738;1.9138;0.8688;-1.8292;2.9098;-2.4112;-2.9612;-1.8132;-3.4952;0.0000;-2.5842;-2.5842;-2.1462;-3.4782;-1.4922;0.0650;-0.2250;-1.3712;-4.1882;1.2480;1.5320;0.6510;1.2900;1.6540;-2.3672;-2.3920;-0.7810;3.2368;0.6218;7.4618;3.2078;5.4818;5.3498;2.3258;1.5568;-2.4562;-3.4002;-1.0922;-2.6862;
06.02.2024 13:25;-3.3196;-3.3156;-3.0876;-2.6226;-3.6916;-2.8516;0.1890;-0.5650;-1.8186;-4.3376;-0.1020;-0.8980;0.9260;1.1210;4.1500;2.0520;0.1679;3.0304;1.9609;4.5584;1.4474;6.1244;3.6584;4.0504;3.0074;1.8404;-1.7866;3.1014;-2.5066;-3.7346;-1.7206;-3.6136;0.0000;-2.5466;-2.5286;-2.2506;-3.7006;-1.5106;0.2940;0.0820;-1.4586;-4.1946;1.2280;1.2810;0.6810;1.2470;1.6040;-2.3751;-1.8110;-0.2180;3.7740;1.1692;8.2344;3.6874;5.8294;5.9064;2.7914;2.2644;-2.4436;-2.8456;-1.1846;-2.7126;
06.02.2024 13:20;-1.9825;-2.1605;-1.6215;-1.4915;-2.3335;-1.4435;-0.0480;-0.6000;-0.4865;-3.0825;-0.1630;-1.0420;0.2940;1.3860;4.0400;1.7860;-0.0933;2.7639;1.6948;4.2885;1.6435;5.6495;3.6545;4.2305;3.1055;1.9795;-1.0505;3.2715;-1.3525;-1.2705;-0.6755;-2.1935;0.0000;-1.2085;-1.3865;-1.0695;-2.4865;-0.1435;-0.0530;-0.7160;-0.0795;-2.8405;1.1840;1.6060;0.2320;1.1080;1.4130;-2.3896;-2.1130;-0.5580;3.5074;0.9064;8.4555;3.6515;5.5545;5.6735;2.7865;2.4035;-0.9965;-1.8465;0.2015;-1.3925;
06.02.2024 13:15;-3.6504;-3.6584;-3.4344;-3.1274;-3.9524;-3.2914;-0.0930;-1.3510;-2.2534;-4.7504;-0.3710;-1.2320;0.6580;1.1920;3.7680;1.2630;-0.6238;2.2387;1.1718;3.7706;0.5896;4.7336;2.4486;3.0266;1.7646;0.9766;-2.2234;2.2766;-2.8774;-3.7374;-2.1354;-3.9714;0.0000;-2.9224;-2.9404;-2.6264;-3.9924;-1.9294;0.0760;-0.2230;-1.8314;-4.7274;0.9010;0.9270;0.1320;0.8910;1.1510;-2.4145;-2.6510;-1.0270;2.9849;0.3892;7.1786;1.9316;4.7806;4.5876;1.7246;1.3416;-2.8264;-3.6554;-1.5614;-3.1364;
06.02.2024 13:10;-3.6316;-3.6926;-3.3566;-2.8706;-3.9656;-3.2876;-0.0730;-0.8030;-1.9646;-4.6506;-0.1210;-0.9660;0.4610;1.5140;4.1320;1.7270;-0.1438;2.7075;1.6374;4.2524;1.0674;5.4074;3.1054;4.1364;2.8634;1.2494;-2.0806;3.3224;-2.6286;-3.8566;-2.1966;-3.8686;0.0000;-2.8786;-2.7866;-2.5516;-3.9246;-1.9806;0.1240;-0.1880;-1.7196;-4.7396;1.1300;1.1470;-0.1280;1.1150;1.4790;-2.3832;-2.1110;-0.5300;3.4497;0.8710;7.6664;3.0604;5.0034;5.2664;2.2214;1.4664;-2.7566;-3.4746;-1.7836;-3.0336;
06.02.2024 13:05;-2.1746;-2.1156;-1.9036;-1.5636;-2.4636;-1.5716;0.5980;-0.1470;-0.7516;-3.2036;0.2400;-0.5890;0.7450;1.8380;4.4750;2.5800;0.7004;3.5602;2.4904;5.1034;1.8144;6.2914;3.9654;4.5154;3.5284;2.4064;-0.9466;3.7734;-1.3036;-1.7896;-0.9266;-2.3966;0.0000;-1.3306;-1.4326;-1.0526;-2.3946;-0.3656;0.9550;-0.0400;-0.2866;-3.2536;1.5790;1.7720;0.1870;1.4680;1.9010;-2.3466;-1.3860;0.3280;4.3019;1.7286;8.5544;3.9094;6.4004;5.9964;3.3284;3.0584;-1.2866;-1.2576;-0.0076;-1.6066;
06.02.2024 13:00;-2.8765;-2.9545;-2.5565;-2.3805;-3.2995;-2.4065;0.0770;-0.4780;-1.5495;-4.1035;-0.3080;-1.1690;-0.1380;1.8000;3.8310;2.0990;0.2234;3.0777;2.0090;4.6145;1.9375;5.9965;3.2545;3.9535;3.0075;1.8135;-1.6865;3.7115;-2.0755;-2.8375;-1.2545;-3.0185;0.0000;-2.1775;-2.2645;-2.0035;-3.2945;-1.1715;0.0860;-0.6170;-1.0305;-3.8725;1.0310;0.7820;-0.1290;0.9570;1.2930;-2.4047;-1.9000;-0.1530;3.8214;1.2418;8.3345;4.1515;5.7575;5.3855;3.0405;2.4715;-1.9465;-2.8285;-0.3365;-2.2185;
06.02.2024 12:55;-2.4804;-2.5284;-2.2044;-1.7754;-2.6744;-1.9734;0.7100;0.2240;-1.0224;-3.3944;0.2610;-0.5560;1.1290;1.9880;4.5410;2.3690;0.4790;3.3459;2.2789;4.8746;1.7206;6.1626;3.3936;4.2646;3.2206;1.8556;-1.1454;4.0006;-1.8084;-2.1494;-0.7134;-2.7424;0.0000;-1.6924;-1.5264;-1.2554;-2.6604;-0.6784;0.9210;0.2090;-0.5784;-3.3994;1.8060;1.6060;0.5980;1.4390;1.9080;-2.3453;-1.5350;0.0870;4.0906;1.5142;8.6526;4.1846;5.8626;5.6456;3.6056;2.9466;-1.5894;-2.5374;-0.7784;-1.9204;
06.02.2024 12:50;-2.9331;-2.9411;-2.4841;-2.2321;-3.0511;-2.3401;0.2710;-0.2280;-1.3381;-3.7791;-0.2120;-1.0200;0.1510;1.5370;4.0470;1.8690;-0.0124;2.8477;1.7790;4.3859;1.3949;5.0929;3.2649;3.5859;2.7509;0.6949;-1.7701;3.8829;-2.5261;-2.7261;-1.2511;-2.9921;0.0000;-2.2711;-2.0041;-1.7061;-2.9651;-1.0131;0.1860;-0.2230;-0.9491;-3.8291;1.1920;1.1000;-0.2010;1.0920;1.3230;-2.3899;-2.0860;-0.4540;3.5915;1.0124;7.7619;3.2799;5.2699;5.3739;2.2279;1.7349;-1.9631;-3.3081;-0.6291;-2.2991;
06.02.2024 12:45;-2.6760;-2.4970;-2.3770;-1.9930;-2.9790;-2.2080;0.0580;-0.8470;-1.1570;-3.5090;-0.1280;-0.9000;0.5020;1.5950;4.0790;1.7310;-0.1377;2.7113;1.6412;4.2560;1.4150;5.3810;2.8510;3.7690;2.9330;1.6160;-1.2890;3.2940;-1.8510;-1.6930;-1.1440;-2.8260;0.0000;-1.9450;-1.7140;-1.6170;-2.8980;-0.8860;0.4290;-0.6510;-0.7890;-3.4920;1.3200;1.2770;0.7830;1.1710;1.4560;-2.3826;-2.0950;-0.4300;3.4539;0.8730;7.8950;3.3590;5.2440;5.2280;2.8470;3.0110;-1.7680;-2.6690;-1.0530;-2.1070;
06.02.2024 12:40;-2.7055;-2.7765;-2.4375;-2.1235;-3.0465;-2.2655;-0.0630;-0.4070;-1.2685;-3.7005;-0.2010;-1.1380;0.2310;2.1610;3.9550;1.5840;-0.2973;2.5635;1.4941;4.0985;1.5435;5.3605;2.8425;3.7955;2.5585;0.8095;-1.5695;3.2085;-2.2665;-2.7605;-1.3665;-2.8475;0.0000;-1.9215;-1.9755;-1.5975;-2.8285;-0.8985;0.1360;-0.5560;-0.8905;-3.7155;1.0090;0.9670;0.5070;0.9860;1.2030;-2.4066;-2.3020;-0.6290;3.3065;0.7102;7.9725;3.5885;5.1065;5.1115;2.1055;2.3165;-1.6995;-2.3695;-0.6965;-2.1175;
06.02.2024 12:35;-3.1846;-3.2456;-3.0736;-2.7456;-3.5016;-2.8246;0.1200;-0.4460;-1.9656;-4.3756;-0.3660;-1.0550;-0.2910;1.6530;4.0500;1.4300;-0.4466;2.4080;1.3404;3.9484;0.9694;5.3274;2.7014;3.6224;2.5094;0.8644;-1.8836;3.2274;-2.2486;-2.7546;-1.7816;-3.4306;0.0000;-2.3896;-2.4036;-2.2236;-3.4816;-1.6616;0.3170;-1.4040;-1.4566;-4.2896;1.1840;0.6350;0.5330;1.2690;1.1730;-2.3765;-2.4670;-0.7690;3.1516;0.5514;7.9764;2.8954;4.9674;4.8804;2.3254;1.4354;-2.3166;-2.4756;-0.8186;-2.6556;
06.02.2024 12:30;-1.4787;-1.3567;-1.1047;-0.9207;-1.7047;-1.1047;0.3730;-0.6350;-0.3887;-2.6517;0.3310;-0.5650;1.6610;2.1290;4.5670;2.8860;0.9992;3.8654;2.7965;5.3943;2.1833;6.5843;4.4283;4.8923;3.2263;3.1893;-0.0807;4.8763;-0.0487;-1.3247;-0.4877;-1.7667;0.0000;-0.7237;-0.6097;-0.4987;-1.7337;0.1193;0.6150;0.7290;0.3833;-2.6457;1.5830;2.2300;0.3470;1.6440;1.7590;-2.3395;-1.0330;0.6540;4.6084;2.0018;8.6483;4.6513;6.7673;6.4003;3.5333;3.1723;-0.6527;-0.9807;0.7813;-0.9217;
06.02.2024 12:25;-1.0709;-1.0189;-0.9539;-0.5519;-1.4659;-0.7519;0.5600;-0.4330;0.3501;-2.1059;0.4590;-0.3060;5.6340;-0.4080;4.2210;3.4570;1.5654;4.4339;3.3665;5.9711;2.8821;7.3731;4.8081;5.0941;4.1211;3.1331;0.1991;4.4211;0.0471;-1.6849;0.0981;-1.3499;0.0000;-0.3379;-0.3769;-0.0459;-1.4859;0.5931;0.4220;-0.1330;0.6421;-2.1569;2.0140;2.3620;-0.3490;0.9760;1.7110;-2.3406;-0.4490;1.1270;5.1785;2.5794;9.2581;4.2981;7.1961;7.0331;3.8451;3.3151;-0.2819;-1.2989;0.8661;-0.4359;
06.02.2024 12:20;-1.5621;-1.6081;-1.3891;-1.0741;-1.8831;-1.0901;0.6980;0.0480;-0.2291;-2.6591;0.2260;-0.5490;0.0920;2.2160;4.8820;2.9970;1.1104;3.9754;2.9066;5.5039;2.7139;7.2339;4.3729;5.1309;4.3489;3.0389;-0.2591;4.2519;-0.5571;-1.9271;-0.5741;-1.9021;0.0000;-0.8701;-0.8221;-0.5981;-1.8131;0.1339;0.7230;-0.7210;0.2259;-2.6061;1.9000;2.8530;1.4040;1.9450;1.9320;-2.3485;-0.9160;0.6330;4.7184;2.0926;9.4539;4.7019;7.0499;7.2759;3.9139;2.9699;-0.8321;-0.8821;0.2329;-1.0021;
06.02.2024 12:15;-2.5352;-2.6812;-2.2142;-2.0012;-2.9232;-2.0562;0.2490;-0.5930;-1.1462;-3.7712;-0.0260;-0.9780;2.0540;0.9020;4.0410;1.9660;0.0850;2.9437;1.8760;4.4828;1.5158;5.8378;3.6158;4.1328;3.0718;1.8758;-1.4532;3.3738;-1.8832;-3.3032;-1.2662;-2.8392;0.0000;-1.9172;-1.9582;-1.5562;-2.8702;-0.7812;0.1490;-0.3120;-0.8092;-3.7242;1.4600;1.9660;0.4760;1.2490;1.3620;-2.3694;-1.8950;-0.3870;3.6878;1.1152;8.4168;3.5338;5.9358;5.9368;2.7628;1.8128;-1.7472;-2.3492;-0.5382;-1.9592;
06.02.2024 12:10;-1.8297;-2.0957;-1.5527;-1.2437;-2.2017;-1.2587;0.3230;-0.2390;-0.3887;-2.8537;0.1200;-0.6750;1.4090;1.5870;4.4640;2.2260;0.3452;3.2027;2.1370;4.7483;1.9673;6.1583;3.3683;4.0483;3.3593;2.2713;-0.3967;4.4553;-1.1587;-1.3837;-0.9267;-2.0097;0.0000;-1.1157;-1.2417;-0.7917;-1.9307;-0.0277;0.3970;-0.1210;-0.0397;-2.9617;1.4390;1.4830;1.0090;1.4440;1.7450;-2.3558;-1.6420;-0.1020;3.9483;1.3762;8.3573;3.3683;5.9183;6.0003;3.4983;2.7083;-1.0957;-1.3367;0.7083;-1.1327;
06.02.2024 12:05;-2.3267;-2.5007;-2.1247;-1.6937;-2.7077;-1.9357;0.1020;-0.4340;-1.0557;-3.4107;0.0190;-0.7940;0.3480;1.8510;4.4080;1.6590;-0.2286;2.6354;1.5688;4.1763;0.9463;5.4963;2.6143;3.9853;2.4413;1.1433;-1.5697;3.4153;-1.6107;-2.1807;-1.1257;-2.6067;0.0000;-1.6047;-1.6227;-1.1447;-2.6557;-0.6437;0.4490;0.3210;-0.5007;-3.3987;1.3430;1.4910;0.4070;1.3040;1.7070;-2.3693;-2.2920;-0.6560;3.3806;0.8070;7.8253;3.1533;5.0213;5.6393;2.4493;2.0743;-1.5557;-1.7617;-0.4287;-1.7737;
06.02.2024 12:00;-2.4520;-2.4240;-1.9450;-1.7320;-2.7790;-1.7920;-0.2500;-0.7030;-0.9130;-3.4630;-0.3130;-1.1220;0.3380;1.4460;4.1020;1.8410;-0.0453;2.8188;1.7513;4.3650;0.8280;4.9970;3.0260;3.0900;2.6960;1.8490;-1.3540;3.3070;-1.8880;-2.2910;-0.9770;-2.7180;0.0000;-1.6510;-1.5730;-1.3000;-2.7260;-0.4790;0.1750;-0.3350;-0.5420;-3.3940;1.1320;0.9120;0.0550;1.0090;1.3710;-2.3874;-2.0950;-0.4860;3.5632;0.9968;7.4150;2.6430;5.0240;5.2410;2.4290;1.8140;-1.7070;-2.2900;-0.2310;-1.7970;
